target_lastauthor_year,sensitivity,include,how_close,status,academic_year,subfield,target_year,stanford_internal,open_data,open_materials,target_on_turk,replication_on_turk,within_between,single_vignette,repeated_measure,target_N,target_raw_stat,same_dir,replication_N,replication_raw_stat,replicated_instructor_code,replicated_report_code,adjudicated_replication_code,target_df_1,target_df_2,target_tstat,target_fstat,target_p_calc,target_d_calc,target_d_calc_se,target_N_calc,target_ES,target_SE,rep_df_1,rep_df_2,rep_tstat,rep_fstat,rep_p_calc,rep_d_calc,rep_d_calc_se,rep_N_calc,rep_ES,rep_SE,predInt,predInt_from_d,p_orig,p_orig_from_d,predInt_with_tau,p_orig_with_tau,sub_rep
kacperczyk2021,NA,stats,far,done,2021-2022,non-psych,2022,no,no,no,no,yes,between,1,1,413,t(411)=2.05,no,188,t(155.59)=-0.80127,0.75,0.5,0.75,NA,411,2.05,NA,0.04099840594528847,0.20174781083510038,0.009734506270189777,413,NA,NA,NA,155.59,0.80127,NA,0.4241973051500092,-0.12765697549428012,0.025434025964186646,157.59,NA,NA,FALSE,FALSE,0,0,TRUE,0.11981075838537958,0.75
keysar2003,NA,pred_int,close,done,2014-2015,cognitive,2003,no,no,no,no,yes,within,0,8,38,"prop:27/38,0/38",yes,14,"prop:13/14,2/14",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7105263157894737,0.07357035128653369,NA,NA,NA,NA,NA,NA,NA,NA,0.7857142857142858,0.11612047629327593,TRUE,NA,0.5844050031915526,NA,NA,NA,1
kim1999,exp,stats,close,done,2012-2013,social,1999,yes,no,no,no,yes,mixed,0,30,76,"MSD4:m1=5.88(2.11),m2=5.63(1.51),m3=3.81(1.91),m4=4.33(1.46)",yes,31,"MSD4:m1=5.96(3.75),m2=6.28(3.05),m3=2.86(1.46),m4=3.10(2.72)",1,1,NA,74,NA,3.7807380346049815,NA,3.1446595841345786e-4,0.4365620244029285,0.0538854368496762,NA,0.77,0.20366393887971426,29,NA,-0.15391043891980138,NA,0.8787464286899116,0.02810007307729876,0.12904499377591855,NA,0.08000000000000007,0.5197828072057278,TRUE,FALSE,0.2164640139646874,0.003490812050603642,TRUE,0.10545991153915235,1
ko2015,exp,stats,close,done,2015-2016,social,2015,no,yes,no,no,yes,within,0,60,40,"F(1,55)=83.67",yes,39,"F(1,20)=30.932",1,1,NA,1,55,NA,83.67,1.2304647802052918e-12,1.2333988516585896,0.08351993620414673,57,NA,NA,1,20,NA,30.932,1.917233638473691e-5,1.2436237373096413,0.2169681818181818,22,NA,NA,TRUE,TRUE,0.9649201616383043,0.9649201616383043,TRUE,0.9739639817523655,1
kovacs2010,NA,stats,close,done,2012-2013,cognitive,2010,no,no,no,no,yes,within,0,40,24,t(23)=2.42,yes,54,t(53)=4.366,1,1,NA,NA,23,2.42,NA,0.023826132182011642,0.4939804314612743,0.1717503472222222,24,NA,NA,NA,53,4.366,NA,5.900061146677169e-5,0.5941373453884086,0.07734258504801098,54,NA,NA,TRUE,TRUE,0.5949150336761044,0.5949150336761044,TRUE,0.7225586905230843,1
lau2008,NA,exp,close,cannot tell direction in rep,2011-2012,social,2008,no,no,no,no,yes,between,1,8,36,"F(1,34)=5.89",NA,39,"F(1,38)=1.51",0,0,NA,1,34,NA,5.89,0.020677269532361302,0.8089774066341064,0.12020061728395061,36,NA,NA,1,38,NA,1.51,0.2266948218481519,NA,0.1018875,40,NA,NA,NA,NA,NA,NA,NA,NA,0
libby2009,NA,pred_int,close,done,2012-2013,cognitive,2009,no,no,no,no,yes,between,0,10,172,t(10)=4.95,yes,81,t(10)=2.34,1,1,NA,NA,10,4.95,NA,5.7853333979204e-4,2.857883832488648,0.6736458333333334,12,NA,NA,NA,10,2.34,NA,0.04133956206265353,1.3509996299037244,0.4093833333333333,12,NA,NA,TRUE,TRUE,0.055927783638130224,0.055927783638130224,TRUE,0.06472180965687335,1
liverence2015,NA,stats,close,done,2015-2016,cognitive,2015,no,no,no,no,yes,within,0,100,18,t(17)=5.22,yes,19,t(18)=0.96,0.5,0,0.25,NA,17,5.22,NA,6.933580773771318e-5,1.2303657992645927,0.26427222222222224,18,NA,NA,NA,18,0.96,NA,0.34977419491525186,0.22023910451573928,0.21180277008310247,19,NA,NA,FALSE,FALSE,0.002858195480990755,0.002858195480990755,FALSE,0.011249917294938294,0.25
livingston2012,NA,stats,far,done,2016-2017,social,2012,no,no,no,no,yes,between,1,1,84,"F(1,76)=11.53",yes,131,t(123)=-.627,0,0,NA,1,76,NA,11.53,0.0010916368370239274,0.7689486662203473,0.05507232084155161,78,NA,NA,NA,123,0.627,NA,0.5318213364547926,0.11216116975138944,0.032050320512,125,NA,NA,FALSE,FALSE,0,0,FALSE,0.0027641139787744073,0
maddux2008,NA,stats,close,done,2022-2023,social,2008,no,no,no,no,yes,between,1,1,40,"MSD2:m1=62.11(22.91),m2=78.57(17.90)",yes,77,"MSD2:m1=71.2(17.4),m2=79.9(17.5)",1,1,NA,38,NA,-5.000084267414199,NA,1.3272924035948943e-5,0.8006542626108974,0.1080130906029625,NA,16.459999999999994,3.291944519269533,75,NA,-4.3463914196078255,NA,4.2896295180807434e-5,0.49856528860902105,0.053562125629907774,NA,8.700000000000003,2.0016604948996983,FALSE,FALSE,0.043993243892788136,0.012223440329052648,TRUE,0.21220037328378027,1
